,,,,,,Within TL8-specific cells,,,,,,,
FCS FILES,Monkey ID,Treatment,Sample,day p.i,%TL8 w mem CD8,CD69,CXCR3,CXCR5,KI67,PD1,Perf Granz,CM,EM
PBMC_REe16_D190.fcs,REe16,Control,PBMC,190,1.89,7.77,90.7,18.7,5.7,93.3,3.11,70.5,29
PBMC_13D064_D190.fcs,13D064,FTY720,PBMC,190,1.11,1.06,80.7,7.36,4.5,84.7,9.49,81.9,17.8
PBMC_Rjy13_D190.fcs,RJy13,Control,PBMC,190,0.94,1.25,55,6.25,5,66.2,17.5,58.8,41.2
PBMC_14_10_D190.fcs,14_10,FTY720,PBMC,190,1.97,2.2,78,6.04,4.95,81.9,19.2,78,22
PBMC_RFb16_D190.fcs,RFb16,FTY720,PBMC,190,0.041,3.57,75,3.57,3.57,35.7,3.57,85.7,14.3
PBMC_RNd5_D190.fcs,RNd15,Control,PBMC,190,0.63,5.84,85.2,7.03,4.48,76.6,5.6,84.5,15.2
PBMC_RYm15_D190.fcs,RYm15,FTY720,PBMC,190,0.22,0,60,10,0,40,20,60,40
PBMC_14C207_D190.fcs,14C207,Control,PBMC,190,0.23,10.2,66.3,2.04,6.12,80.6,18.4,54.1,45.9
PBMC_Rrf12_D190.fcs,RRf12,FTY720,PBMC,190,0.015,NA,NA,NA,NA,NA,NA,NA,NA
PBMC_9_047_D190.fcs,9_047,Control,PBMC,190,0.37,3.35,66.5,8.18,3.98,64.4,3.98,69.2,30.4
PBMC_RLm14_D190.fcs,RLm14,Control,PBMC,190,0.66,2.33,48.6,5.4,7.98,89.6,10.9,52.4,47.4
PBMC_RuH14_D190.fcs,RUh14,FTY720,PBMC,190,0.88,1.98,69.3,8.91,7.92,75.2,20.8,60.4,36.6
PBMC_Rmf16_D190.fcs,RMf16,FTY720,PBMC,190,1.2,1.87,64.7,8.15,4.58,82.2,16.6,55.2,44.3
PBMC_Ryk16_D190.fcs,RYk16,Control,PBMC,190,1.06,8.6,63.4,16.8,4.66,75.3,10.8,79.9,20.1
